Irish Jockeys Stats Flat (2024 and 2025)

2025
Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

H. Doyle (Runs: 5 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 240000 | Place Money: 3850 | Total Prize Money: 243850)
R. Kingscote (Runs: 5 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 2 | Win Money: 24000 | Place Money: 76000 | Total Prize Money: 100000)
S. O'Donnell (Runs: 5 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 6000 | Place Money: 0 | Total Prize Money: 6000)
N.J. Ryan (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 9000 | Place Money: 220 | Total Prize Money: 9220)
O.J. Orr (Runs: 4 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 10200 | Place Money: 2500 | Total Prize Money: 12700)
James Doyle (Runs: 3 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 240000 | Place Money: 52000 | Total Prize Money: 292000)
R.G. Ryan (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 180000 | Place Money: 55000 | Total Prize Money: 235000)
S.M. Levey (Runs: 3 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 290000 | Place Money: 6000 | Total Prize Money: 296000)
D. Allan (Runs: 2 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 1 | Win Money: 36000 | Place Money: 3500 | Total Prize Money: 39500)
Hector Crouch (Runs: 2 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 290000 | Place Money: 12000 | Total Prize Money: 302000)
J.C. Gainford (Runs: 2 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 6600 | Place Money: 2100 | Total Prize Money: 8700)
J.P. Spencer (Runs: 2 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 72000 | Place Money: 100000 | Total Prize Money: 172000)
Sam James (Runs: 2 | 1st: 1 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 72000 | Place Money: 24000 | Total Prize Money: 96000)
C. Bishop (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 240000 | Place Money: 0 | Total Prize Money: 240000)
E. Gale (Runs: 1 | 1st: 1 | 2nd: 0 | 3rd: 0 | 4th: 0 | Win Money: 18000 | Place Money: 0 | Total Prize Money: 18000)
S.D. Bowen (Runs: 34 | 1st: 0 | 2nd: 3 | 3rd: 4 | 4th: 6 | Win Money: 0 | Place Money: 23885 | Total Prize Money: 23885)
C.D. Fahy (Runs: 19 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 0 | Place Money: 2810 | Total Prize Money: 2810)
E. Grifferty (Runs: 14 | 1st: 0 | 2nd: 4 | 3rd: 0 | 4th: 1 | Win Money: 0 | Place Money: 9100 | Total Prize Money: 9100)
Rachael Blackmore (Runs: 13 | 1st: 0 | 2nd: 1 | 3rd: 1 | 4th: 2 | Win Money: 0 | Place Money: 6375 | Total Prize Money: 6375)
S.R Markey (Runs: 11 | 1st: 0 | 2nd: 2 | 3rd: 2 | 4th: 2 | Win Money: 0 | Place Money: 9565 | Total Prize Money: 9565)
R. Holohan (Runs: 9 | 1st: 0 | 2nd: 0 | 3rd: 2 | 4th: 0 | Win Money: 0 | Place Money: 9500 | Total Prize Money: 9500)
G. Brouder (Runs: 8 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 2200 | Total Prize Money: 2200)
K.W. De Oliveira (Runs: 8 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 2100 | Total Prize Money: 2100)
L.P. Keniry (Runs: 8 | 1st: 0 | 2nd: 2 | 3rd: 0 | 4th: 2 | Win Money: 0 | Place Money: 9250 | Total Prize Money: 9250)
R. Parsons (Runs: 8 | 1st: 0 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 0 | Place Money: 3200 | Total Prize Money: 3200)
S. O'Callaghan (Runs: 8 | 1st: 0 | 2nd: 0 | 3rd: 3 | 4th: 1 | Win Money: 0 | Place Money: 4655 | Total Prize Money: 4655)
C. Worrell (Runs: 5 | 1st: 0 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 5300 | Total Prize Money: 5300)
D.J. O'Keeffe (Runs: 5 | 1st: 0 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 4450 | Total Prize Money: 4450)
A. McArdle (Runs: 4 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 2000 | Total Prize Money: 2000)
F. Frain (Runs: 4 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 1 | Win Money: 0 | Place Money: 6575 | Total Prize Money: 6575)
W. Buick (Runs: 4 | 1st: 0 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 0 | Place Money: 151000 | Total Prize Money: 151000)
M.J.M O'Sullivan (Runs: 3 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 3620 | Total Prize Money: 3620)
J. Mitchell (Runs: 2 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 9500 | Total Prize Money: 9500)
Morgan Cole (Runs: 2 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 4200 | Total Prize Money: 4200)
Saffie Osborne (Runs: 2 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 120000 | Total Prize Money: 120000)
Tom Eaves (Runs: 2 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 36000 | Total Prize Money: 36000)
C. Clarke (Runs: 1 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 2400 | Total Prize Money: 2400)
C. Cullinan (Runs: 1 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 2500 | Total Prize Money: 2500)
Callum Rodriguez (Runs: 1 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 24000 | Total Prize Money: 24000)
Daniel Muscutt (Runs: 1 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 11000 | Total Prize Money: 11000)
Jim Crowley (Runs: 1 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 100000 | Total Prize Money: 100000)
K. Shoemark (Runs: 1 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 60000 | Total Prize Money: 60000)
K.T. O'Neill (Runs: 1 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 8000 | Total Prize Money: 8000)
S. Donohoe (Runs: 1 | 1st: 0 | 2nd: 1 | 3rd: 0 | 4th: 0 | Win Money: 0 | Place Money: 200000 | Total Prize Money: 200000)
