REGIONAL (GB) (Rank: 94 | Flat Rating: 112 | Year: 2018 | Sex: GELDING | Sire: TERRITORIES (IRE) | Dam: FAVULUSA (GB) | Trainer: Edward Bethell)
SHES PERFECT (IRE) (Rank: 95 | Flat Rating: 112 | Year: 2022 | Sex: FILLY | Sire: SIOUX NATION (USA) | Dam: GALEAZA (GB) | Trainer: Charlie Fellowes)
SPARKS FLY (GB) (Rank: 96 | Flat Rating: 112 | Year: 2020 | Sex: FILLY | Sire: MUHAARAR (GB) | Dam: STEPPING OUT (IRE) | Trainer: David Loughnane)
TAMFANA (GER) (Rank: 97 | Flat Rating: 112 | Year: 2021 | Sex: FILLY | Sire: SOLDIER HOLLOW (GB) | Dam: TRES MAGNIFIQUE (FR) | Trainer: )
TEN BOB TONY (IRE) (Rank: 98 | Flat Rating: 112 | Year: 2021 | Sex: GELDING | Sire: NIGHT OF THUNDER (IRE) | Dam: HUG (IRE) | Trainer: Ed Walker)
TIFFANY (IRE) (Rank: 99 | Flat Rating: 112 | Year: 2020 | Sex: FILLY | Sire: FARHH (GB) | Dam: AFFINITY (GB) | Trainer: Sir Mark Prescott Bt)
AL NAYYIR (GB) (Rank: 100 | Flat Rating: 111 | Year: 2018 | Sex: GELDING | Sire: DUBAWI (IRE) | Dam: BRIGHT BEACON (GB) | Trainer: Tom Clover)
CHANCELLOR (GB) (Rank: 101 | Flat Rating: 111 | Year: 2022 | Sex: GELDING | Sire: KINGMAN (GB) | Dam: QUEEN'S TRUST (GB) | Trainer: John & Thady Gosden)
ELECTROLYTE (IRE) (Rank: 102 | Flat Rating: 111 | Year: 2022 | Sex: COLT | Sire: HELLO YOUMZAIN (FR) | Dam: BIBURY (GB) | Trainer: )
FLORA OF BERMUDA (IRE) (Rank: 103 | Flat Rating: 111 | Year: 2021 | Sex: FILLY | Sire: DARK ANGEL (IRE) | Dam: DUBAI POWER (GB) | Trainer: Andrew Balding)
ICE MAX (GB) (Rank: 104 | Flat Rating: 111 | Year: 2021 | Sex: GELDING | Sire: DARK ANGEL (IRE) | Dam: COOL KITTEN (IRE) | Trainer: K. R. Burke)
KING'S GAMBIT (IRE) (Rank: 105 | Flat Rating: 111 | Year: 2021 | Sex: GELDING | Sire: SAXON WARRIOR (JPN) | Dam: PURE SYMMETRY (USA) | Trainer: Harry Charlton)
PABORUS (GB) (Rank: 106 | Flat Rating: 111 | Year: 2021 | Sex: GELDING | Sire: RECOLETOS (FR) | Dam: PATUANO (IRE) | Trainer: )
ROYAL FIXATION (GB) (Rank: 107 | Flat Rating: 111 | Year: 2023 | Sex: FILLY | Sire: PALACE PIER (GB) | Dam: FIXETTE (IRE) | Trainer: K. R. Burke)
SPYCATCHER (IRE) (Rank: 108 | Flat Rating: 111 | Year: 2018 | Sex: GELDING | Sire: VADAMOS (FR) | Dam: DAMASK (IRE) | Trainer: K. R. Burke)
TIME FOR SANDALS (IRE) (Rank: 109 | Flat Rating: 111 | Year: 2022 | Sex: FILLY | Sire: SANDS OF MALI (FR) | Dam: DAYS OF SUMMER (IRE) | Trainer: Harry Eustace)
UNQUESTIONABLE (FR) (Rank: 110 | Flat Rating: 111 | Year: 2021 | Sex: COLT | Sire: WOOTTON BASSETT (GB) | Dam: STRAWBERRY LACE (GB) | Trainer: )
ZANTHOS (FR) (Rank: 111 | Flat Rating: 111 | Year: 2023 | Sex: FILLY | Sire: SIOUX NATION (USA) | Dam: BRIONIYA (GB) | Trainer: Simon & Ed Crisford)
