Irish Horses Flat (2025 and 2024)

2025
Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

Going Remote (Runs: 7 | 1st: 1 | 2nd: 2 | 3rd: 0 | 4th: 1 | Win Money: 60000 | Place Money: 12400 | Total Prize Money: 72400)
Lord Massusus (Runs: 7 | 1st: 1 | 2nd: 2 | 3rd: 2 | 4th: 0 | Win Money: 0 | Place Money: 63250 | Total Prize Money: 63250)
Tango Flare (Runs: 7 | 1st: 1 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 90000 | Place Money: 14400 | Total Prize Money: 104400)
Vespertilio (FR) (Runs: 7 | 1st: 1 | 2nd: 2 | 3rd: 0 | 4th: 2 | Win Money: 60000 | Place Money: 39400 | Total Prize Money: 99400)
Bellaphina (Runs: 6 | 1st: 1 | 2nd: 0 | 3rd: 2 | 4th: 1 | Win Money: 60000 | Place Money: 10750 | Total Prize Money: 70750)
Carla Ridge (Runs: 6 | 1st: 1 | 2nd: 1 | 3rd: 2 | 4th: 1 | Win Money: 33000 | Place Money: 29000 | Total Prize Money: 62000)
Caught U Looking (Runs: 6 | 1st: 1 | 2nd: 0 | 3rd: 2 | 4th: 2 | Win Money: 30000 | Place Money: 39750 | Total Prize Money: 69750)
Galileo Dame (Runs: 6 | 1st: 1 | 2nd: 3 | 3rd: 0 | 4th: 0 | Win Money: 9000 | Place Money: 59050 | Total Prize Money: 68050)
Goldana (Runs: 6 | 1st: 1 | 2nd: 2 | 3rd: 1 | 4th: 0 | Win Money: 24000 | Place Money: 40850 | Total Prize Money: 64850)
Indigo Five (Runs: 6 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 1 | Win Money: 60000 | Place Money: 36675 | Total Prize Money: 96675)
Vorfreude (Runs: 6 | 1st: 1 | 2nd: 2 | 3rd: 2 | 4th: 0 | Win Money: 60000 | Place Money: 14550 | Total Prize Money: 74550)
Dunum (Runs: 5 | 1st: 1 | 2nd: 0 | 3rd: 1 | 4th: 0 | Win Money: 72000 | Place Money: 11000 | Total Prize Money: 83000)
Fiery Lucy (GB) (Runs: 5 | 1st: 1 | 2nd: 4 | 3rd: 0 | 4th: 0 | Win Money: 12000 | Place Money: 89000 | Total Prize Money: 101000)
Magny Cours (Runs: 5 | 1st: 1 | 2nd: 1 | 3rd: 1 | 4th: 0 | Win Money: 10800 | Place Money: 56800 | Total Prize Money: 67600)
Purple Lily (Runs: 5 | 1st: 1 | 2nd: 1 | 3rd: 2 | 4th: 0 | Win Money: 10500 | Place Money: 98000 | Total Prize Money: 108500)
Sixandahalf (Runs: 5 | 1st: 1 | 2nd: 1 | 3rd: 2 | 4th: 0 | Win Money: 7500 | Place Money: 66700 | Total Prize Money: 74200)
Wigmore Street (USA) (Runs: 5 | 1st: 1 | 2nd: 0 | 3rd: 2 | 4th: 1 | Win Money: 60000 | Place Money: 20195 | Total Prize Money: 80195)
Antelope Canyon (Runs: 4 | 1st: 1 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 10800 | Place Money: 210540 | Total Prize Money: 221340)
