Irish Trainers Stats National Hunt (Jumps) (2024 and 2025 and 2026)


Name	Runs	1st	2nd	3rd	4th	Win Money	Place Money	Total Prize-money*

H.Rogers (Runs: 11 | 1st: 3 | 2nd: 2 | 3rd: 0 | 4th: 0 | Win Money: 42600 | Place Money: 24600 | Total Prize Money: 67200)
Sean Joseph Allen (Runs: 19 | 1st: 3 | 2nd: 1 | 3rd: 2 | 4th: 2 | Win Money: 45300 | Place Money: 13085 | Total Prize Money: 58385)
M.F.Morris (Runs: 48 | 1st: 3 | 2nd: 2 | 3rd: 5 | 4th: 4 | Win Money: 24000 | Place Money: 25940 | Total Prize Money: 49940)
Adrian Murray (Runs: 57 | 1st: 3 | 2nd: 7 | 3rd: 2 | 4th: 3 | Win Money: 24000 | Place Money: 23280 | Total Prize Money: 47280)
P.A.Fahy (Runs: 66 | 1st: 3 | 2nd: 3 | 3rd: 5 | 4th: 6 | Win Money: 19200 | Place Money: 27530 | Total Prize Money: 46730)
Liam P Cusack (Runs: 66 | 1st: 3 | 2nd: 8 | 3rd: 3 | 4th: 2 | Win Money: 18000 | Place Money: 27505 | Total Prize Money: 45505)
Donncha Duggan (Runs: 37 | 1st: 3 | 2nd: 3 | 3rd: 2 | 4th: 5 | Win Money: 27600 | Place Money: 17415 | Total Prize Money: 45015)
Mark Michael McNiff (Runs: 79 | 1st: 3 | 2nd: 4 | 3rd: 5 | 4th: 8 | Win Money: 19800 | Place Money: 24520 | Total Prize Money: 44320)
M.A.Molloy (Runs: 46 | 1st: 3 | 2nd: 2 | 3rd: 6 | 4th: 2 | Win Money: 23400 | Place Money: 14665 | Total Prize Money: 38065)
P.M.J.Doyle (Runs: 31 | 1st: 3 | 2nd: 4 | 3rd: 4 | 4th: 2 | Win Money: 18600 | Place Money: 16540 | Total Prize Money: 35140)
Colin Motherway (Runs: 20 | 1st: 3 | 2nd: 2 | 3rd: 0 | 4th: 3 | Win Money: 24300 | Place Money: 10615 | Total Prize Money: 34915)
E.Seymour (Runs: 24 | 1st: 3 | 2nd: 3 | 3rd: 0 | 4th: 0 | Win Money: 25500 | Place Money: 9000 | Total Prize Money: 34500)
E.Buckley (Runs: 46 | 1st: 3 | 2nd: 2 | 3rd: 2 | 4th: 5 | Win Money: 18900 | Place Money: 14220 | Total Prize Money: 33120)
Paul John Gilligan (Runs: 123 | 1st: 2 | 2nd: 7 | 3rd: 12 | 4th: 11 | Win Money: 13500 | Place Money: 53500 | Total Prize Money: 67000)
Anthony McCann (Runs: 58 | 1st: 2 | 2nd: 7 | 3rd: 2 | 4th: 7 | Win Money: 15000 | Place Money: 46980 | Total Prize Money: 61980)
R.P.Cody (Runs: 31 | 1st: 2 | 2nd: 6 | 3rd: 7 | 4th: 5 | Win Money: 18600 | Place Money: 33455 | Total Prize Money: 52055)
Mrs Lorna Fowler (Runs: 26 | 1st: 2 | 2nd: 1 | 3rd: 1 | 4th: 3 | Win Money: 37500 | Place Money: 9820 | Total Prize Money: 47320)
Colin Bowe (Runs: 38 | 1st: 2 | 2nd: 2 | 3rd: 5 | 4th: 4 | Win Money: 17700 | Place Money: 18575 | Total Prize Money: 36275)
David Kenneth Budds (Runs: 49 | 1st: 2 | 2nd: 1 | 3rd: 3 | 4th: 5 | Win Money: 22200 | Place Money: 12875 | Total Prize Money: 35075)
James Joseph Mangan (Runs: 14 | 1st: 2 | 2nd: 0 | 3rd: 2 | 4th: 1 | Win Money: 26400 | Place Money: 5645 | Total Prize Money: 32045)
E. D. Delany (Runs: 34 | 1st: 2 | 2nd: 2 | 3rd: 1 | 4th: 1 | Win Money: 21000 | Place Money: 10160 | Total Prize Money: 31160)
Darren Collins (Runs: 45 | 1st: 2 | 2nd: 2 | 3rd: 3 | 4th: 2 | Win Money: 18000 | Place Money: 12770 | Total Prize Money: 30770)
Matthew J. Smith (Runs: 35 | 1st: 1 | 2nd: 5 | 3rd: 3 | 4th: 3 | Win Money: 6000 | Place Money: 33685 | Total Prize Money: 39685)
D.E.Fitzgerald (Runs: 40 | 1st: 1 | 2nd: 7 | 3rd: 2 | 4th: 3 | Win Money: 6000 | Place Money: 32960 | Total Prize Money: 38960)
Charles Coakley (Runs: 23 | 1st: 1 | 2nd: 4 | 3rd: 4 | 4th: 0 | Win Money: 6000 | Place Money: 23010 | Total Prize Money: 29010)
Oliver McKiernan (Runs: 81 | 1st: 0 | 2nd: 9 | 3rd: 5 | 4th: 14 | Win Money: 0 | Place Money: 45900 | Total Prize Money: 45900)
Thomas Mullins (Runs: 57 | 1st: 0 | 2nd: 4 | 3rd: 7 | 4th: 3 | Win Money: 0 | Place Money: 42240 | Total Prize Money: 42240)
W.P. Mullins (Runs: 854 | 1st: 206 | 2nd: 125 | 3rd: 101 | 4th: 88 | Win Money: 4191300 | Place Money: 1837215 | Total Prize Money: 6028515)
Gordon Elliott (Runs: 1209 | 1st: 158 | 2nd: 159 | 3rd: 154 | 4th: 132 | Win Money: 2400600 | Place Money: 1612950 | Total Prize Money: 4013550)
Henry de Bromhead (Runs: 577 | 1st: 87 | 2nd: 90 | 3rd: 61 | 4th: 72 | Win Money: 885900 | Place Money: 699115 | Total Prize Money: 1585015)
